ORTHOMCL1342 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_4915|m.4993(Gro_GLOM_longest_orfs) TRINITY_DN25367_c0_g1_i1|m.1764(Ccl_longest_orfs) TRINITY_DN17635_c0_g1_i1|m.6204(Fmo_longest_orfs) TRINITY_DN34858_c0_g1_i1|m.1786(Amo_longest_orfs) TRINITY_DN55214_c0_g1_i1|m.847(Dve_longest_orfs) TRINITY_DN10393_c0_g1_i1|m.6358(Sca_longest_orfs) TRINITY_DN20804_c0_g1_i1|m.4062(Rca_longest_orfs) TRINITY_DN13784_c0_g1_i1|m.6173(Pbr_longest_orfs) TRINITY_DN103121_c0_g1_i1|m.2567(Ale_longest_orfs) step3_c2933|m.3561(Rir-Ref_longest_orfs)
ORTHOMCL1382 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_3529|m.3721(Gro_GLOM_longest_orfs) TRINITY_DN9749_c0_g1_i1|m.498(Ccl_longest_orfs) TRINITY_DN21431_c0_g1_i1|m.5404(Fmo_longest_orfs) TRINITY_DN28902_c0_g1_i1|m.3424(Amo_longest_orfs) TRINITY_DN47158_c0_g1_i1|m.2974(Dve_longest_orfs) TRINITY_DN18899_c0_g1_i1|m.6431(Sca_longest_orfs) TRINITY_DN39109_c0_g1_i1|m.3082(Rca_longest_orfs) TRINITY_DN47937_c0_g1_i1|m.5705(Pbr_longest_orfs) TRINITY_DN94832_c0_g1_i1|m.255(Ale_longest_orfs) step3_c916|m.1206(Rir-Ref_longest_orfs)
ORTHOMCL1401 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_97|m.105(Gro_GLOM_longest_orfs) TRINITY_DN2880_c0_g1_i1|m.223(Ccl_longest_orfs) TRINITY_DN40176_c0_g1_i1|m.5983(Fmo_longest_orfs) TRINITY_DN35528_c0_g1_i1|m.2528(Amo_longest_orfs) TRINITY_DN37325_c0_g1_i1|m.783(Dve_longest_orfs) TRINITY_DN13062_c0_g1_i1|m.4316(Sca_longest_orfs) TRINITY_DN24702_c0_g1_i1|m.1187(Rca_longest_orfs) TRINITY_DN118188_c0_g1_i1|m.9461(Pbr_longest_orfs) TRINITY_DN105364_c0_g1_i1|m.1783(Ale_longest_orfs) step3_rep_c344|m.456(Rir-Ref_longest_orfs)
ORTHOMCL1414 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_282|m.313(Gro_GLOM_longest_orfs) TRINITY_DN5790_c0_g1_i1|m.1936(Ccl_longest_orfs) TRINITY_DN23710_c0_g1_i1|m.3864(Fmo_longest_orfs) TRINITY_DN15279_c0_g1_i1|m.1428(Amo_longest_orfs) TRINITY_DN28956_c0_g1_i1|m.4172(Dve_longest_orfs) TRINITY_DN7703_c0_g1_i1|m.3586(Sca_longest_orfs) TRINITY_DN22994_c0_g1_i1|m.5732(Rca_longest_orfs) TRINITY_DN84705_c0_g1_i1|m.6687(Pbr_longest_orfs) TRINITY_DN108281_c0_g1_i1|m.2483(Ale_longest_orfs) step3_c3638|m.4155(Rir-Ref_longest_orfs)
ORTHOMCL1440 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_1562|m.1701(Gro_GLOM_longest_orfs) TRINITY_DN15797_c0_g1_i1|m.2171(Ccl_longest_orfs) TRINITY_DN5330_c0_g1_i1|m.21(Fmo_longest_orfs) TRINITY_DN18530_c0_g1_i1|m.3581(Amo_longest_orfs) TRINITY_DN49340_c0_g1_i1|m.3688(Dve_longest_orfs) TRINITY_DN8047_c0_g1_i1|m.1883(Sca_longest_orfs) TRINITY_DN13603_c0_g1_i1|m.8507(Rca_longest_orfs) TRINITY_DN54962_c0_g1_i1|m.7883(Pbr_longest_orfs) TRINITY_DN106779_c0_g1_i1|m.3042(Ale_longest_orfs) step3_c1400|m.1840(Rir-Ref_longest_orfs)
ORTHOMCL1444 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_5729|m.5733(Gro_GLOM_longest_orfs) TRINITY_DN20668_c0_g1_i1|m.3098(Ccl_longest_orfs) TRINITY_DN5111_c0_g1_i1|m.5058(Fmo_longest_orfs) TRINITY_DN4793_c0_g1_i1|m.2727(Amo_longest_orfs) TRINITY_DN54791_c0_g1_i1|m.1989(Dve_longest_orfs) TRINITY_DN26953_c0_g1_i1|m.4774(Sca_longest_orfs) TRINITY_DN15448_c0_g1_i1|m.8406(Rca_longest_orfs) TRINITY_DN62185_c0_g1_i1|m.3358(Pbr_longest_orfs) TRINITY_DN93931_c0_g1_i1|m.1431(Ale_longest_orfs) remain_c2071|m.5542(Rir-Ref_longest_orfs)
ORTHOMCL1477 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_1216|m.1325(Gro_GLOM_longest_orfs) TRINITY_DN29100_c0_g1_i1|m.3847(Ccl_longest_orfs) TRINITY_DN26744_c0_g1_i1|m.6511(Fmo_longest_orfs) TRINITY_DN7825_c0_g1_i1|m.2356(Amo_longest_orfs) TRINITY_DN54078_c0_g1_i1|m.1474(Dve_longest_orfs) TRINITY_DN8440_c0_g1_i1|m.4042(Sca_longest_orfs) TRINITY_DN39391_c0_g1_i1|m.532(Rca_longest_orfs) TRINITY_DN75653_c0_g1_i1|m.7085(Pbr_longest_orfs) TRINITY_DN94258_c0_g1_i1|m.577(Ale_longest_orfs) step3_c1697|m.2210(Rir-Ref_longest_orfs)
ORTHOMCL1514 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_8623|m.7971(Gro_GLOM_longest_orfs) TRINITY_DN18937_c0_g1_i1|m.4217(Ccl_longest_orfs) TRINITY_DN23388_c0_g1_i1|m.2296(Fmo_longest_orfs) TRINITY_DN31014_c0_g1_i1|m.4494(Amo_longest_orfs) TRINITY_DN31226_c0_g1_i1|m.2572(Dve_longest_orfs) TRINITY_DN3727_c0_g1_i1|m.6825(Sca_longest_orfs) TRINITY_DN27997_c0_g1_i1|m.1985(Rca_longest_orfs) TRINITY_DN63825_c0_g1_i1|m.7532(Pbr_longest_orfs) TRINITY_DN109072_c0_g1_i1|m.1949(Ale_longest_orfs) remain_c702|m.4803(Rir-Ref_longest_orfs)
ORTHOMCL1518 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_10358|m.9187(Gro_GLOM_longest_orfs) TRINITY_DN21287_c0_g1_i1|m.3315(Ccl_longest_orfs) TRINITY_DN25950_c0_g1_i1|m.5316(Fmo_longest_orfs) TRINITY_DN51374_c0_g1_i1|m.4297(Amo_longest_orfs) TRINITY_DN26627_c0_g1_i1|m.4600(Dve_longest_orfs) TRINITY_DN24086_c0_g1_i1|m.1672(Sca_longest_orfs) TRINITY_DN20705_c0_g1_i1|m.7565(Rca_longest_orfs) TRINITY_DN65671_c0_g1_i1|m.3113(Pbr_longest_orfs) TRINITY_DN98783_c0_g1_i1|m.1076(Ale_longest_orfs) step3_c864|m.1137(Rir-Ref_longest_orfs)
ORTHOMCL1529 (10 genes,10 taxa):	 43_GTGGCC_L004_R1_paired_trimmed_paired_contig_4551|m.4659(Gro_GLOM_longest_orfs) TRINITY_DN24883_c0_g1_i1|m.1903(Ccl_longest_orfs) TRINITY_DN23596_c0_g1_i1|m.636(Fmo_longest_orfs) TRINITY_DN27091_c0_g1_i1|m.415(Amo_longest_orfs) TRINITY_DN35004_c0_g1_i1|m.3971(Dve_longest_orfs) TRINITY_DN9452_c0_g1_i1|m.5679(Sca_longest_orfs) TRINITY_DN24443_c0_g1_i1|m.4700(Rca_longest_orfs) TRINITY_DN88976_c0_g1_i1|m.6938(Pbr_longest_orfs) TRINITY_DN108656_c0_g1_i1|m.3792(Ale_longest_orfs) step3_c1993|m.2574(Rir-Ref_longest_orfs)
